release,feature,Total LOC,Mean CSB
2022-12,EclipseLink,2443322,0.5769835696206236
2022-12,GEF,82918,14.002532790592491
2022-12,GMF Runtime,129601,0.000773177760596
2022-12,JDT,1506921,16.525626103446022
2022-12,Mylyn,316468,4.564913550686304
2022-12,PDE,358915,11.10606488808501
2022-12,PTP,124832,4.918270197787463
2022-12,RAP,420346,3.028708133971292
2022-12,Scout,270530,3.6961474841257136
2022-12,Subversive,74505,21.46031480241125
2022-12,WebTools,312127,1.6524183917197452
2022-12,Window Builder,478019,1.1747902406712298
2022-12,m2e,72660,5.9825306320514375
2023-03,BIRT,961667,29.369293162123668
2023-03,CDT,938750,12.560314114840214
2023-03,CVS,160038,9.83400736403694
2023-03,DataTools,560173,0.029733181947204
2023-03,EGit,129887,10.713483146067416
2023-03,EMF,686371,12.043189185207014
2023-03,EclipseLink,2441332,0.5938427896499773
2023-03,GEF,83056,13.953599423371475
2023-03,GMF Runtime,129593,0.0007732864674868
2023-03,JDT,1512906,16.477212074102862
2023-03,Mylyn,305230,0.3829837309876143
2023-03,PDE,359062,11.144869442484122
2023-03,PTP,124832,4.918270197787463
2023-03,RAP,420396,3.028622166509976
2023-03,Scout,277248,3.6698672911787664
2023-03,Subversive,74505,21.46031480241125
2023-03,WebTools,312193,1.6570468963801468
2023-03,Window Builder,478027,1.1769982336056524
2023-03,m2e,73707,6.109384339509862
2023-06,BIRT,962852,29.337641620002604
2023-06,CDT,939844,12.541454292888815
2023-06,CVS,67747,13.066158536585366
2023-06,DataTools,559067,0.516864726392941
2023-06,EGit,129932,10.722545031958164
2023-06,EMF,686295,12.044810756054884
2023-06,EclipseLink,2441387,0.5909067639810149
2023-06,GEF,84990,13.932309593151532
2023-06,GMF Runtime,129495,0.0269414743950478
2023-06,JDT,1516760,16.494987646975126
2023-06,Mylyn,306927,0.3915334621464957
2023-06,PDE,358449,11.219650408796166
2023-06,PTP,124832,4.918270197787463
2023-06,RAP,420430,3.0297693657558287
2023-06,Scout,279633,3.661278244028405
2023-06,Subversive,74510,21.465170797052917
2023-06,WebTools,312621,1.6738465365004354
2023-06,Window Builder,474344,1.272537504522809
2023-06,m2e,74588,6.16952764295016
2023-09,BIRT,963126,29.34402569639621
2023-09,CDT,940378,12.543450397334016
2023-09,CVS,67747,13.066158536585366
2023-09,DataTools,559067,0.516864726392941
2023-09,EGit,130098,10.74080526519551
2023-09,EMF,686311,12.04694636805658
2023-09,EclipseLink,2468836,0.626771762680459
2023-09,GEF,88847,15.29107898448519
2023-09,GMF Runtime,129515,0.0403827212607288
2023-09,JDT,1520382,16.521692520310502
2023-09,Mylyn,303233,0.4037702241353718
2023-09,PDE,358701,11.25638426668919
2023-09,PTP,124832,4.918270197787463
2023-09,RAP,420428,3.029811147321801
2023-09,Scout,280921,3.656672666495243
2023-09,Subversive,74510,21.465170797052917
2023-09,WebTools,320192,2.183007186015864
2023-09,Window Builder,480225,25.89964843200675
2023-09,m2e,75161,6.1995531514581375
2023-12,BIRT,963458,29.334439600008675
2023-12,CDT,940421,12.543796127185534
2023-12,CVS,67747,13.066158536585366
2023-12,DataTools,562792,0.5141455322002788
2023-12,EGit,130203,10.7624806501548
2023-12,EMF,686322,12.047185796375423
2023-12,EclipseLink,2475519,0.6577216608100341
2023-12,GEF,89101,15.63674045330276
2023-12,GMF Runtime,129542,0.0460077383046078
2023-12,JDT,1522122,16.677487032293772
2023-12,Mylyn,294149,0.3435254548234215
2023-12,PDE,360414,11.304370957354465
2023-12,PTP,124832,4.918270197787463
2023-12,RAP,420427,3.0315862040151247
2023-12,Scout,282489,3.658526606489887
2023-12,Subversive,74524,21.454728033472804
2023-12,WebTools,320192,2.183007186015864
2023-12,Window Builder,480366,26.017105337316124
2023-12,m2e,75185,6.219165196942975
2024-03,BIRT,963512,29.34295010845987
2024-03,CDT,940997,12.527622747014696
2024-03,CVS,67747,13.066158536585366
2024-03,DataTools,562782,0.5145691039692204
2024-03,EGit,130409,10.74857529218584
2024-03,EMF,686406,12.046850828729282
2024-03,EclipseLink,2475461,0.6637819393516093
2024-03,GEF,90552,16.664747054133073
2024-03,GMF Runtime,129542,0.0461484347520225
2024-03,JDT,1532903,16.829611439388124
2024-03,Mylyn,290378,2.0448172335881645
2024-03,PDE,365374,9.88207586149905
2024-03,PTP,124832,4.918270197787463
2024-03,RAP,420479,3.0316018129790923
2024-03,Scout,284955,3.620605048818738
2024-03,Subversive,74524,21.454728033472804
2024-03,WebTools,320202,2.1830975409632263
2024-03,Window Builder,424514,26.21941647634059
2024-03,m2e,75532,6.2591855838989
2024-06,BIRT,964046,29.34263596148842
2024-06,CDT,941855,12.515718443186543
2024-06,CVS,67747,13.066158536585366
2024-06,DataTools,562782,0.5145691039692204
2024-06,EGit,130525,10.699277108433735
2024-06,EMF,689918,12.342123678685867
2024-06,EclipseLink,2477236,0.7923720970744825
2024-06,GEF,91720,16.691916980471145
2024-06,GMF Runtime,129568,0.0501547552054023
2024-06,JDT,1544693,16.891359310879317
2024-06,Mylyn,290283,2.113649025069638
2024-06,PDE,369478,9.814297385620916
2024-06,PTP,124832,4.918270197787463
2024-06,RAP,420479,3.0316018129790923
2024-06,Scout,287276,3.6012182283050085
2024-06,Subversive,74524,21.454728033472804
2024-06,WebTools,320203,2.185310425420821
2024-06,Window Builder,424328,26.215871789920836
2024-06,m2e,75558,6.262868507253159
2024-09,BIRT,961212,29.35109952761036
2024-09,CDT,942056,12.513318765655812
2024-09,CVS,67747,13.066158536585366
2024-09,DataTools,562782,0.5145691039692204
2024-09,EGit,130544,10.734491075735647
2024-09,EMF,689901,12.343836322787377
2024-09,EclipseLink,2478251,0.8311966742120843
2024-09,GEF,91914,16.659257962898145
2024-09,GMF Runtime,129568,0.0501547552054023
2024-09,JDT,1558094,16.737923843264362
2024-09,Mylyn,290377,2.1440106422472467
2024-09,PDE,368888,9.869445654541494
2024-09,PTP,124832,4.918270197787463
2024-09,RAP,444245,2.9019033383158943
2024-09,Scout,287321,3.633767145615487
2024-09,Subversive,74524,21.454728033472804
2024-09,WebTools,320240,2.186727666028494
2024-09,Window Builder,420601,26.42541292755885
2024-09,m2e,75870,6.251021122651418
2024-12,BIRT,962197,29.336823715792445
2024-12,CDT,942254,12.51217588694809
2024-12,CVS,67747,13.066158536585366
2024-12,DataTools,562820,0.5145141082426018
2024-12,EGit,130562,10.73503861003861
2024-12,EMF,689985,12.348961402474956
2024-12,EclipseLink,2478469,0.8312222512405327
2024-12,GEF,96629,16.603361344537817
2024-12,GMF Runtime,129568,0.0501547552054023
2024-12,JDT,1563475,16.595744413758474
2024-12,Mylyn,290377,2.1440106422472467
2024-12,PDE,368742,9.90856645259606
2024-12,PTP,124832,4.918270197787463
2024-12,RAP,444655,2.9038457708470253
2024-12,Scout,290627,3.629896677321044
2024-12,Subversive,74551,21.449054709720595
2024-12,WebTools,320240,2.186727666028494
2024-12,Window Builder,420342,26.393576908074373
2024-12,m2e,76150,6.24967974845697
2025-03,BIRT,962992,29.33314535457493
2025-03,CDT,942697,12.503264562719012
2025-03,CVS,67747,13.066158536585366
2025-03,DataTools,562820,0.5145494009070215
2025-03,EGit,130599,10.758321273516644
2025-03,EMF,689993,12.349366529169124
2025-03,EclipseLink,2482206,0.8343800024627509
2025-03,GEF,97218,16.771048002010556
2025-03,GMF Runtime,129579,0.0528981429375351
2025-03,JDT,1541759,17.00755199839426
2025-03,Mylyn,290446,2.1461981067871063
2025-03,PDE,369274,9.914208095626188
2025-03,PTP,124832,4.918270197787463
2025-03,RAP,444779,2.9035161071954763
2025-03,Scout,291423,3.69007162262287
2025-03,Subversive,74551,21.449054709720595
2025-03,WebTools,320244,2.188269225987717
2025-03,Window Builder,418883,26.53781732530751
2025-03,m2e,76642,6.2455916473317865
2025-06,BIRT,963888,29.317020838525806
2025-06,CDT,936092,12.604169360051714
2025-06,CVS,67747,13.066158536585366
2025-06,DataTools,562820,0.5145494009070215
2025-06,EGit,130647,10.775612579587111
2025-06,EMF,690177,12.340769782980836
2025-06,EclipseLink,2482446,0.8474302517600023
2025-06,GEF,97445,16.726014837042595
2025-06,GMF Runtime,129588,0.0535978054441865
2025-06,JDT,1535947,17.287758008895995
2025-06,Mylyn,290467,2.1489203736930027
2025-06,PDE,377564,10.385621621621622
2025-06,PTP,124832,4.918270197787463
2025-06,RAP,445381,2.905640516385303
2025-06,Scout,295549,3.659751742900867
2025-06,Subversive,74549,21.451731637945457
2025-06,WebTools,320258,2.1888162311345383
2025-06,Window Builder,418930,27.088988309058845
2025-06,m2e,76768,6.246899269734555
2025-09,BIRT,963980,29.319852622453404
2025-09,CDT,933027,12.630408231644708
2025-09,CVS,67747,13.066158536585366
2025-09,DataTools,562820,0.5145494009070215
2025-09,EGit,130865,10.779853620955317
2025-09,EMF,690417,12.33435131356244
2025-09,EclipseLink,2484134,0.8655491379684718
2025-09,GEF,97716,16.708426919557443
2025-09,GMF Runtime,129586,0.0537384820988956
2025-09,JDT,1540322,17.321830055584634
2025-09,Mylyn,285082,2.197698185591648
2025-09,PDE,378763,10.372038489528585
2025-09,PTP,124832,4.918270197787463
2025-09,RAP,447196,2.8931996598841234
2025-09,Scout,292873,3.614232942730631
2025-09,Subversive,74549,21.451731637945457
2025-09,WebTools,320258,2.1888659588751587
2025-09,Window Builder,418376,27.24621422730989
2025-09,m2e,76856,6.251071718225003
2025-12,BIRT,964207,29.316306078892342
2025-12,CDT,925560,12.772931821657163
2025-12,CVS,67747,13.066158536585366
2025-12,DataTools,562820,0.5145494009070215
2025-12,EGit,130840,10.789402697495182
2025-12,EMF,690427,12.336007064537494
2025-12,EclipseLink,2484855,0.8782319866270109
2025-12,GEF,99374,16.431944444444444
2025-12,GMF Runtime,129593,0.0540160360106906
2025-12,JDT,1545473,17.31631600531895
2025-12,Mylyn,285606,2.2442999811569626
2025-12,PDE,379217,10.38988664207437
2025-12,PTP,124832,4.918270197787463
2025-12,RAP,447201,2.8933860603064754
2025-12,Scout,294638,3.6094540677306335
2025-12,Subversive,74549,21.451731637945457
2025-12,WebTools,320258,2.1888659588751587
2025-12,Window Builder,418237,27.67481774494099
2025-12,m2e,77128,6.212180746561886
2026-03,BIRT,961263,29.33759596355016
2026-03,CDT,925562,12.772953666688512
2026-03,CVS,67747,13.066158536585366
2026-03,DataTools,562820,0.5145494009070215
2026-03,EGit,130867,10.80061645155076
2026-03,EMF,690606,12.34548163956141
2026-03,EclipseLink,2484737,0.8993177828848555
2026-03,GEF,99979,16.546432062561095
2026-03,GMF Runtime,129593,0.0540160360106906
2026-03,JDT,1550632,17.299181953396133
2026-03,Mylyn,286068,2.302490656113572
2026-03,PDE,379457,10.399257045950092
2026-03,PTP,124832,4.918270197787463
2026-03,RAP,447184,2.894395443578689
2026-03,Scout,297157,3.599956545880308
2026-03,Subversive,74549,21.451731637945457
2026-03,WebTools,320258,2.1888659588751587
2026-03,Window Builder,417562,28.258415938757484
2026-03,m2e,77255,6.221413721413722
JunoSR0,BIRT,1128406,9.969648990045986
JunoSR0,CDT,836258,7.3916466554364835
JunoSR0,CVS,158885,4.9354289071680375
JunoSR0,DataTools,0,0.0
JunoSR0,EGit,68910,7.565069107880094
JunoSR0,EMF,562284,11.342296623388036
JunoSR0,EclipseLink,1092147,2.243909878237697
JunoSR0,GEF,18720,1.5255767301905716
JunoSR0,GMF Runtime,128228,4.039923279107764
JunoSR0,JDT,1068159,21.94558179911021
JunoSR0,Mylyn,2220,6.274336283185841
JunoSR0,PDE,0,0.0
JunoSR0,PTP,198510,6.635385147402092
JunoSR0,RAP,348509,2.2638213623377275
JunoSR0,Scout,193483,2.1948634673731893
JunoSR0,Subversive,57573,3.65106701609884
JunoSR0,WebTools,33996,0.2457067371202113
JunoSR0,Window Builder,487648,0.3422715035850414
JunoSR0,m2e,1902,0.939622641509434
JunoSR1,BIRT,1134268,9.976925931079265
JunoSR1,CDT,1035141,6.758479146978245
JunoSR1,CVS,158894,4.941397754658203
JunoSR1,DataTools,203,7.384615384615385
JunoSR1,EGit,70117,7.55891132572432
JunoSR1,EMF,615646,10.84703113685735
JunoSR1,EclipseLink,1177992,2.583652337161379
JunoSR1,GEF,18970,1.5453644025780862
JunoSR1,GMF Runtime,128259,4.011280595956013
JunoSR1,JDT,1069704,21.93339958442497
JunoSR1,Mylyn,52922,2.280327868852459
JunoSR1,PDE,269982,6.765765139400681
JunoSR1,PTP,206819,6.532001526911821
JunoSR1,RAP,350527,2.3165288432798645
JunoSR1,Scout,196612,2.205800989186017
JunoSR1,Subversive,57602,3.659494855004677
JunoSR1,WebTools,222537,1.07919294751208
JunoSR1,Window Builder,487714,0.3432744329841955
JunoSR1,m2e,64404,2.312386284114765
JunoSR2,BIRT,1139676,10.032532151185611
JunoSR2,CDT,1052170,6.806489525743729
JunoSR2,CVS,158940,4.951860342091342
JunoSR2,DataTools,27632,6.957236842105263
JunoSR2,EGit,72866,7.789553752535497
JunoSR2,EMF,633340,12.010477597242735
JunoSR2,EclipseLink,1188360,2.7268310857209648
JunoSR2,GEF,87320,12.236670536750916
JunoSR2,GMF Runtime,128267,4.013126152972896
JunoSR2,JDT,1132529,21.17064096352184
JunoSR2,Mylyn,71210,2.051779197080292
JunoSR2,PDE,294124,6.972724897105899
JunoSR2,PTP,208898,6.631352718078382
JunoSR2,RAP,356559,2.899797720657161
JunoSR2,Scout,200364,2.339483394833948
JunoSR2,Subversive,57551,3.6810780460415495
JunoSR2,WebTools,223679,1.1391387349021624
JunoSR2,Window Builder,487950,0.2863041798758558
JunoSR2,m2e,64072,7.452761725574519
