"project","release","commitHash","methodId","BOM","TACH","FCH","LCH","FRCH","WCH","WCD","CSB","CSBS","ACDF","LOC"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::removeAncestors(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::addAncestors(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::propertyChange(PropertyChangeEvent)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","15"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::removeAncestorListener(AncestorListener)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorListener.java::ancestorRemoved(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","2"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorListener.java::ancestorMoved(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","2"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorListener.java::ancestorAdded(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","2"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AnchorListener.java::anchorMoved(ConnectionAnchor)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","4"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ArrowButton.java::setOrientation(int)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ArrowButton.java::setDirection(int)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ArrowButton.java::createTriangle()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","13"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ArrowLocator.java::relocate(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::next()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::getSecondAnchor()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::handleCollision(PointList, int)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","1"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::invalidate(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","13"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::route(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","25"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::hashCode()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::getFirstAnchor()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::remove(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","13"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::setEndPoints(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::setConstraint(Connection, Object)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::equals(Object)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","11"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::getConstraint(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AutomaticRouter.java::setNextRouter(ConnectionRouter)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/Bendpoint.java::getLocation()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BendpointConnectionRouter.java::setConstraint(Connection, Object)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BendpointConnectionRouter.java::route(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","34"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BendpointConnectionRouter.java::remove(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BendpointConnectionRouter.java::getConstraint(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BendpointLocator.java::getReferencePoint()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BendpointLocator.java::getIndex()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/Border.java::getPreferredSize(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/Border.java::paint(IFigure, Graphics, Insets)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","12"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/Border.java::isOpaque()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/Border.java::getInsets(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","4"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BufferedGraphicsSource.java::getImageGC()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BufferedGraphicsSource.java::widgetDisposed(DisposeEvent)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BufferedGraphicsSource.java::flushGraphics(Rectangle)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BufferedGraphicsSource.java::getGraphics(Rectangle)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","23"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/BufferedGraphicsSource.java::getImage()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/Button.java::init()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonBorder.java::calculateOpaque()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","34"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonBorder.java::paint(IFigure, Graphics, Insets)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","22"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonBorder.java::getShadowPressed()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonBorder.java::calculateInsets()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","13"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonBorder.java::getHighlightPressed()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::isSelected(ButtonModel)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::getSelected()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::selectNewModel(ButtonModel)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","14"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::add(ButtonModel)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","13"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::firePropertyChange(Object, Object)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","12"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::setDefault(ButtonModel)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","12"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::setSelected(ButtonModel)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","11"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::remove(ButtonModel)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","13"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::getDefault()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ButtonGroup.java::addPropertyChangeListener(PropertyChangeListener)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","11"
