release,feature,Mean LOC,Normalized Mean LOC
2018-09,EMF,12.658244256166519,86.45299675424567
2018-09,GEF,7.759822960888808,14.863712226762788
2018-09,GMF Runtime,9.097189037245256,0.0
2018-09,JDT,19.652758660243176,69.94271842814828
2018-09,m2e,8.67106697347705,81.33463850249719
2018-09,Mylyn,8.685042463807537,43.17124200753744
2018-09,PDE,10.10562949587908,98.90235879823318
2018-09,PTP,8.531439493804376,24.0607771326229
2018-09,RAP,8.772554002541296,68.91411578157765
2018-09,Scout,7.309587998350724,13.127442362339266
2018-09,Subversive,11.30717751380291,31.349846241672118
2018-09,WebTools,8.381897885507994,51.02271346766535
2018-09,Window Builder,13.062814831126648,9.219979913867265
2018-12,BIRT,13.179089207192302,99.91396828009269
2018-12,CDT,10.008916922279345,61.98275604225759
2018-12,CVS,9.610308285163777,27.73071475881817
2018-12,DataTools,9.937851503592656,63.64141356980518
2018-12,EclipseLink,9.123856736282947,97.4131766959892
2018-12,EGit,12.576639892904954,79.09475049419609
2018-12,EMF,12.65686016327452,86.06133027330972
2018-12,GEF,7.759822960888808,14.863712226762788
2018-12,GMF Runtime,9.097189037245256,0.0
2018-12,JDT,19.69741130260293,76.7019004205304
2018-12,m2e,8.674013078227174,81.49505826818995
2018-12,Mylyn,8.685697115384615,43.20393456903046
2018-12,PDE,10.100246841875999,98.84967952894901
2018-12,PTP,8.531439493804376,24.0607771326229
2018-12,RAP,8.772649319303,68.94973961284705
2018-12,Scout,7.308033621847952,12.98657246496982
2018-12,Subversive,11.30717751380291,31.349846241672118
2018-12,WebTools,8.381897885507994,51.02271346766535
2018-12,Window Builder,13.062565372969997,9.184623578328042
2019-03,BIRT,13.179347648640118,99.92183622342785
2019-03,CDT,10.00814335060449,61.69026978572819
2019-03,CVS,9.620770620108368,28.78528707737561
2019-03,DataTools,9.937975694136432,63.64220887870622
2019-03,EclipseLink,9.120234109481602,96.78986969899447
2019-03,EGit,12.583194398132711,80.39316309442736
2019-03,EMF,12.646745351171823,83.19907089426788
2019-03,GEF,7.759822960888808,14.863712226762788
2019-03,GMF Runtime,9.097189037245256,0.0
2019-03,JDT,19.720468381428592,80.19210802660518
2019-03,m2e,8.680222706366497,81.83318171444796
2019-03,Mylyn,8.685014556259192,43.16984833604509
2019-03,PDE,10.128375219170076,99.12496795751107
2019-03,PTP,8.531439493804376,24.0607771326229
2019-03,RAP,8.772948598526547,69.06159268434891
