release,feature,Total LOC,Normalized LOC
Oxygen,JDT,1318216,50.48433727155997
Oxygen,m2e,69896,90.23396546919167
Oxygen,Mylyn,281686,88.93167180061607
Oxygen,PDE,350890,92.47161074904403
Oxygen,PTP,129393,5.431123693068954
Oxygen,RAP,413479,65.83107040084303
Oxygen,Scout,207347,15.592898562983432
Oxygen,Subversive,67579,58.87049430550664
Oxygen,WebTools,272688,83.38235602350295
Oxygen,Window Builder,473931,79.98098697465876
Oxygen.1,BIRT,1209425,99.3356600232669
Oxygen.1,CDT,1121367,86.50046722733947
Oxygen.1,CVS,163844,100.0
Oxygen.1,DataTools,28318,5.031448775807541
Oxygen.1,EclipseLink,1304596,17.615003064328562
Oxygen.1,EGit,108815,64.40757299417338
Oxygen.1,EMF,657702,74.35825501472857
Oxygen.1,GEF,85909,82.6849948928734
Oxygen.1,GMF Runtime,129499,86.28649015614393
Oxygen.1,JDT,1330705,53.005757940385536
Oxygen.1,m2e,69922,90.26846973577695
Oxygen.1,Mylyn,283262,89.43318652783788
Oxygen.1,PDE,351108,92.52906126385861
Oxygen.1,PTP,129392,5.429934222264515
Oxygen.1,RAP,413749,66.10464880638754
Oxygen.1,Scout,204755,13.156831232789164
Oxygen.1,Subversive,67581,58.88223552894212
Oxygen.1,WebTools,272901,83.45676338459174
Oxygen.1,Window Builder,473931,79.98098697465876
Oxygen.1a,BIRT,1209421,99.3343266766001
Oxygen.1a,CDT,1122169,86.7437895171175
Oxygen.1a,CVS,161758,97.82927666836633
Oxygen.1a,DataTools,28318,5.031448775807541
Oxygen.1a,EclipseLink,1305102,17.65032311564734
Oxygen.1a,EGit,108905,64.55283503074713
Oxygen.1a,EMF,664358,79.54520658967286
Oxygen.1a,GEF,85909,82.6849948928734
Oxygen.1a,GMF Runtime,129499,86.28649015614393
Oxygen.1a,JDT,1335300,53.93344854597872
Oxygen.1a,m2e,70110,90.51796212493198
Oxygen.1a,Mylyn,283262,89.43318652783788
Oxygen.1a,PDE,351355,92.59415427835039
Oxygen.1a,PTP,129392,5.429934222264515
Oxygen.1a,RAP,413749,66.10464880638754
Oxygen.1a,Scout,206075,14.397421076869579
Oxygen.1a,Subversive,67581,58.88223552894212
Oxygen.1a,WebTools,272901,83.45676338459174
Oxygen.1a,Window Builder,473931,79.98098697465876
Oxygen.1a_respin,BIRT,1209421,99.3343266766001
Oxygen.1a_respin,CDT,1125181,87.65761337847842
Oxygen.1a_respin,CVS,161758,97.82927666836633
Oxygen.1a_respin,DataTools,28318,5.031448775807541
Oxygen.1a_respin,EclipseLink,1305102,17.65032311564734
Oxygen.1a_respin,EGit,108905,64.55283503074713
Oxygen.1a_respin,EMF,664358,79.54520658967286
Oxygen.1a_respin,GEF,85909,82.6849948928734
Oxygen.1a_respin,GMF Runtime,129499,86.28649015614393
Oxygen.1a_respin,JDT,1335526,53.979075983816394
Oxygen.1a_respin,m2e,70116,90.52592464799012
